domain	clickable_num	auto_type	type	css_selector	text	raw_html
vertexsmb.com	22	duplicate	duplicate	#CybotCookiebotDialog [class*="Button"]	Preferences	<input type="checkbox" id="CybotCookiebotDialogBodyLevelButtonPreferences" class="CybotCookiebotDialogBodyLevelButton" checked="checked" tabindex="0">
vertexsmb.com	23	preference slider	preference slider	#CybotCookiebotDialog [class*="Button"]	Statistics	<div class="CybotCookiebotDialogBodyLevelButtonWrapper" title="Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously."><input type="checkbox" id="CybotCookiebotDialogBodyLevelButtonStatistics" class="CybotCookiebotDialogBodyLevelButton" checked="checked" tabindex="0"><label for="CybotCookiebotDialogBodyLevelButtonStatistics">Statistics</label></div>
vertexsmb.com	24	duplicate	duplicate	#CybotCookiebotDialog [class*="Button"]	Statistics	<input type="checkbox" id="CybotCookiebotDialogBodyLevelButtonStatistics" class="CybotCookiebotDialogBodyLevelButton" checked="checked" tabindex="0">
vertexsmb.com	25	preference slider	preference slider	#CybotCookiebotDialog [class*="Button"]	Marketing	<div class="CybotCookiebotDialogBodyLevelButtonWrapper" title="Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers."><input type="checkbox" id="CybotCookiebotDialogBodyLevelButtonMarketing" class="CybotCookiebotDialogBodyLevelButton" checked="checked" tabindex="0"><label for="CybotCookiebotDialogBodyLevelButtonMarketing">Marketing</label></div>
vertexsmb.com	26	duplicate	duplicate	#CybotCookiebotDialog [class*="Button"]	Marketing	<input type="checkbox" id="CybotCookiebotDialogBodyLevelButtonMarketing" class="CybotCookiebotDialogBodyLevelButton" checked="checked" tabindex="0">
dailycivil.com	0	more options	more options	div[id*="cmp"] button 	Manage Options	<button tabindex="0" type="button" class=" bg-gray-300 text-sm md:text-base hover:bg-gray-400 text-gray-800 font-bold py-2 px-4 rounded outline-none m-2 " style="color: rgb(51, 51, 51); background-color: rgb(226, 232, 240);">Manage Options</button>
dailycivil.com	1	opt-in option	opt-in option	div[id*="cmp"] button 	Agree and proceed	<button tabindex="0" type="button" class=" bg-gray-300 text-sm md:text-base hover:bg-gray-400 text-gray-800 font-bold py-2 px-4 rounded outline-none m-2 " style="color: rgb(255, 255, 255); background-color: rgb(74, 144, 226);">Agree and proceed</button>
dailycivil.com	2	policy link	policy link	div[id*="cmp"] a	our partners	<a href="#" class="font-bold underline cursor-pointer">our partners</a>
dailycivil.com	3	policy link	policy link	div[id*="cmp"] a	View a list of partners	<a href="#" class="font-bold underline cursor-pointer">View a list of partners</a>
dailycivil.com	4	duplicate	duplicate	div[id*="cmp"] a	our partners	<a href="#" class="font-bold underline cursor-pointer">our partners</a>
dailycivil.com	5	more options	more options	div[id*="cmp"] a	Manage Options	<a href="#" class="font-bold underline cursor-pointer">Manage Options</a>
dailycivil.com	6	other	other	div[id*="cmp"] a	Powered by	<a href="https://www.uniconsent.com/?utm_source=widget&amp;utm_medium=v2&amp;utm_campaign=cmpui" alt="IAB TCF GDPR CMP - Cookie Consent Manager" title="IAB TCF GDPR CMP - Cookie Consent Manager"><img src="https://cmp.uniconsent.com/logo.svg" class="h-4 uniclogo" alt="UniConsent" style="height: 16px; width: 98px;"></a>
i3investor.com	0	opt-in option	opt-in option	cloudflare-app[app="tibrr-cookie-consent"] button 	Got It	<button style="border-color: rgb(0, 0, 0); font-size: 1em;">Got It</button>
i3investor.com	1	policy link	policy link	cloudflare-app[app="tibrr-cookie-consent"] a	Learn More	<a title="Learn More" href="https://www.i3investor.com/jsp/general/consent.jsp" target="_blank">Learn More</a>
i3investor.com	2	opt-in option	opt-in option	cloudflare-app[app="tibrr-cookie-consent"] [class*="button"]	Got It	<div class="tibrr-cookie-consent-button"><button style="border-color: rgb(0, 0, 0); font-size: 1em;">Got It</button></div>
rmutp.ac.th	0	opt-in option	opt-in option	.cookie-revoke-hidden a	accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button cn-button-custom button" aria-label="ยอมรับ">ยอมรับ</a>
rmutp.ac.th	1	policy link	policy link	.cookie-revoke-hidden a	Read more here	<a href="https://www.rmutp.ac.th/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%84%e0%b8%b8%e0%b8%81%e0%b8%81%e0%b8%b5%e0%b9%89/" target="_blank" id="cn-more-info" class="cn-more-info cn-button cn-button-custom button" aria-label="อ่านเพิ่มเติมได้ที่นี่">อ่านเพิ่มเติมได้ที่นี่</a>
rmutp.ac.th	2	other	other	.cookie-revoke-hidden a	Phra Nakhon, use the cookie to provide services and service updates.If you continue using the university websiteConsidered that you allow the use of cookies to accept read more here	<a href="javascript:void(0);" id="cn-close-notice" data-cookie-set="accept" class="cn-close-icon" aria-label="ยอมรับ"></a>
rmutp.ac.th	3	opt-in option	opt-in option	.cookie-revoke-hidden span[class*="button"]	Accept read more here	<span id="cn-notice-buttons" class="cn-buttons-container"><a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button cn-button-custom button" aria-label="ยอมรับ">ยอมรับ</a><a href="https://www.rmutp.ac.th/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%84%e0%b8%b8%e0%b8%81%e0%b8%81%e0%b8%b5%e0%b9%89/" target="_blank" id="cn-more-info" class="cn-more-info cn-button cn-button-custom button" aria-label="อ่านเพิ่มเติมได้ที่นี่">อ่านเพิ่มเติมได้ที่นี่</a></span>
rmutp.ac.th	4	duplicate	duplicate	.cookie-revoke-hidden [class*="close"]	Phra Nakhon, use the cookie to provide services and service updates.If you continue using the university websiteConsidered that you allow the use of cookies to accept read more here	<a href="javascript:void(0);" id="cn-close-notice" data-cookie-set="accept" class="cn-close-icon" aria-label="ยอมรับ"></a>
rmutp.ac.th	5	duplicate	duplicate	.cookie-revoke-hidden [class*="button"]	Accept read more here	<span id="cn-notice-buttons" class="cn-buttons-container"><a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button cn-button-custom button" aria-label="ยอมรับ">ยอมรับ</a><a href="https://www.rmutp.ac.th/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%84%e0%b8%b8%e0%b8%81%e0%b8%81%e0%b8%b5%e0%b9%89/" target="_blank" id="cn-more-info" class="cn-more-info cn-button cn-button-custom button" aria-label="อ่านเพิ่มเติมได้ที่นี่">อ่านเพิ่มเติมได้ที่นี่</a></span>
rmutp.ac.th	6	duplicate	duplicate	.cookie-revoke-hidden [class*="button"]	accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button cn-button-custom button" aria-label="ยอมรับ">ยอมรับ</a>
rmutp.ac.th	7	duplicate	duplicate	.cookie-revoke-hidden [class*="button"]	Read more here	<a href="https://www.rmutp.ac.th/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%84%e0%b8%b8%e0%b8%81%e0%b8%81%e0%b8%b5%e0%b9%89/" target="_blank" id="cn-more-info" class="cn-more-info cn-button cn-button-custom button" aria-label="อ่านเพิ่มเติมได้ที่นี่">อ่านเพิ่มเติมได้ที่นี่</a>
rmutp.ac.th	8	duplicate	duplicate	.cookie-revoke-hidden [id*="accept"]	accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button cn-button-custom button" aria-label="ยอมรับ">ยอมรับ</a>
rmutp.ac.th	9	duplicate	duplicate	.cookie-revoke-hidden [class*="custom"]	accept	<a href="#" id="cn-accept-cookie" data-cookie-set="accept" class="cn-set-cookie cn-button cn-button-custom button" aria-label="ยอมรับ">ยอมรับ</a>
rmutp.ac.th	10	duplicate	duplicate	.cookie-revoke-hidden [class*="custom"]	Read more here	<a href="https://www.rmutp.ac.th/%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%9a%e0%b8%b2%e0%b8%a2%e0%b8%84%e0%b8%b8%e0%b8%81%e0%b8%81%e0%b8%b5%e0%b9%89/" target="_blank" id="cn-more-info" class="cn-more-info cn-button cn-button-custom button" aria-label="อ่านเพิ่มเติมได้ที่นี่">อ่านเพิ่มเติมได้ที่นี่</a>
zszywka.pl	0	more options	more options	div[class*="gdpr"] button 	Manage choices	<button class="button_button--sYDKO details_manage--QT7wa "><b><span>Manage choices</span></b></button>
zszywka.pl	1	opt-in option	opt-in option	div[class*="gdpr"] button 	Accept All	<button class="button_button--sYDKO details_save--3nDG7 "><b><span>Accept All</span></b></button>
zszywka.pl	2	duplicate	duplicate	div[class*="gdpr"] [class*="button"]	Manage choices	<button class="button_button--sYDKO details_manage--QT7wa "><b><span>Manage choices</span></b></button>
zszywka.pl	3	duplicate	duplicate	div[class*="gdpr"] [class*="button"]	Accept All	<button class="button_button--sYDKO details_save--3nDG7 "><b><span>Accept All</span></b></button>
zszywka.pl	4	more options	more options	div[class*="gdpr"] [class*="button"]	Privacy settings	<div class="openbutton_popup--2tlni" style="display: none;"><svg stroke="currentColor" fill="currentColor" stroke-width="0" viewBox="0 0 512 512" height="1em" width="1em" xmlns="http://www.w3.org/2000/svg"><path d="M487.4 315.7l-42.6-24.6c4.3-23.2 4.3-47 0-70.2l42.6-24.6c4.9-2.8 7.1-8.6 5.5-14-11.1-35.6-30-67.8-54.7-94.6-3.8-4.1-10-5.1-14.8-2.3L380.8 110c-17.9-15.4-38.5-27.3-60.8-35.1V25.8c0-5.6-3.9-10.5-9.4-11.7-36.7-8.2-74.3-7.8-109.2 0-5.5 1.2-9.4 6.1-9.4 11.7V75c-22.2 7.9-42.8 19.8-60.8 35.1L88.7 85.5c-4.9-2.8-11-1.9-14.8 2.3-24.7 26.7-43.6 58.9-54.7 94.6-1.7 5.4.6 11.2 5.5 14L67.3 221c-4.3 23.2-4.3 47 0 70.2l-42.6 24.6c-4.9 2.8-7.1 8.6-5.5 14 11.1 35.6 30 67.8 54.7 94.6 3.8 4.1 10 5.1 14.8 2.3l42.6-24.6c17.9 15.4 38.5 27.3 60.8 35.1v49.2c0 5.6 3.9 10.5 9.4 11.7 36.7 8.2 74.3 7.8 109.2 0 5.5-1.2 9.4-6.1 9.4-11.7v-49.2c22.2-7.9 42.8-19.8 60.8-35.1l42.6 24.6c4.9 2.8 11 1.9 14.8-2.3 24.7-26.7 43.6-58.9 54.7-94.6 1.5-5.5-.7-11.3-5.6-14.1zM256 336c-44.1 0-80-35.9-80-80s35.9-80 80-80 80 35.9 80 80-35.9 80-80 80z"></path></svg><span>Privacy settings</span></div>
carid.com	0	other	close option	div[class*="cookie"] span[class*="btn"]	CARiD.com uses cookies for personalization and to provide a better shopping experience. By continuing to use our website, we assume that you agree to the use of such cookies. Find out more about cookies and How We Use Them.	<span class="close-btn js-cookie-disclaimer-close"></span>
carid.com	1	duplicate	duplicate	div[class*="cookie"] span[class*="btn"]	CARiD.com uses cookies for personalization and to provide a better shopping experience. By continuing to use our website, we assume that you agree to the use of such cookies. Find out more about cookies and How We Use Them.	<span class="close-btn js-cookie-disclaimer-close"></span>
carid.com	2	duplicate	duplicate	div[class*="cookie"] [class*="close"]	CARiD.com uses cookies for personalization and to provide a better shopping experience. By continuing to use our website, we assume that you agree to the use of such cookies. Find out more about cookies and How We Use Them.	<span class="close-btn js-cookie-disclaimer-close"></span>
soanimesitehd.com	0	policy link	policy link	#cookieChoiceInfo a	LEARN MORE	<a href="https://www.blogger.com/go/blogspot-cookies" target="_blank" class="cookie-choices-button">Learn more</a>
soanimesitehd.com	1	opt-in option	opt-in option	#cookieChoiceInfo a	OK	<a id="cookieChoiceDismiss" href="#" class="cookie-choices-button">Ok</a>
soanimesitehd.com	2	other	other	#cookieChoiceInfo span[class*="button"]	LEARN MOREOK	<span class="cookie-choices-buttons"><a href="https://www.blogger.com/go/blogspot-cookies" target="_blank" class="cookie-choices-button">Learn more</a><a id="cookieChoiceDismiss" href="#" class="cookie-choices-button">Ok</a></span>
soanimesitehd.com	3	duplicate	duplicate	#cookieChoiceInfo [class*="button"]	LEARN MOREOK	<span class="cookie-choices-buttons"><a href="https://www.blogger.com/go/blogspot-cookies" target="_blank" class="cookie-choices-button">Learn more</a><a id="cookieChoiceDismiss" href="#" class="cookie-choices-button">Ok</a></span>
soanimesitehd.com	4	duplicate	duplicate	#cookieChoiceInfo [class*="button"]	LEARN MORE	<a href="https://www.blogger.com/go/blogspot-cookies" target="_blank" class="cookie-choices-button">Learn more</a>
soanimesitehd.com	5	duplicate	duplicate	#cookieChoiceInfo [class*="button"]	OK	<a id="cookieChoiceDismiss" href="#" class="cookie-choices-button">Ok</a>
dutchwatersector.com	0	opt-out option	opt-out option	#CybotCookiebotDialog a	Use necessary cookies only	<a id="CybotCookiebotDialogBodyButtonDecline" class="CybotCookiebotDialogBodyButton" href="#" tabindex="0" lang="en" style="width: 155px;">Use necessary cookies only</a>
dutchwatersector.com	1	opt-in option	opt-in option	#CybotCookiebotDialog a	Allow all cookies	<a id="CybotCookiebotDialogBodyButtonAccept" class="CybotCookiebotDialogBodyButton" href="#" tabindex="0" lang="en" style="width: 155px;">Allow all cookies</a>
dutchwatersector.com	2	other	other	#CybotCookiebotDialog a	Show details	<a id="CybotCookiebotDialogBodyButtonDetails" class="CybotCookiebotDialogBodyLink" href="#" tabindex="0" lang="en">Show details</a>
dutchwatersector.com	3	duplicate	duplicate	#CybotCookiebotDialog [class*="Button"]	Use necessary cookies only	<a id="CybotCookiebotDialogBodyButtonDecline" class="CybotCookiebotDialogBodyButton" href="#" tabindex="0" lang="en" style="width: 155px;">Use necessary cookies only</a>
dutchwatersector.com	4	duplicate	duplicate	#CybotCookiebotDialog [class*="Button"]	Allow all cookies	<a id="CybotCookiebotDialogBodyButtonAccept" class="CybotCookiebotDialogBodyButton" href="#" tabindex="0" lang="en" style="width: 155px;">Allow all cookies</a>
virginradio.fr	0	more options	more options	div[class*="consent"] button 	Set cookies	<button id="didomi-notice-learn-more-button" class="didomi-components-button didomi-button didomi-learn-more-button didomi-button-standard standard-button" aria-label="Configurer vos consentements" style="color: rgb(68, 68, 68); background-color: rgb(238, 238, 238); border-radius: 0px; border-color: rgba(34, 34, 34, 0.2); border-width: 1px;"><span>Paramétrer les cookies</span></button>
virginradio.fr	1	opt-in option	opt-in option	div[class*="consent"] button 	Accept and close	<button id="didomi-notice-agree-button" class="didomi-components-button didomi-button didomi-dismiss-button didomi-components-button--color didomi-button-highlight highlight-button" aria-label="Accepter notre traitement des données et fermer" style="color: rgb(255, 255, 255); background-color: rgb(227, 29, 37); border-radius: 0px; border-color: rgba(227, 29, 37, 0.3); border-width: 1px;"><span>Accepter et fermer</span></button>
virginradio.fr	2	policy link	policy link	div[class*="consent"] a	his partners	<a href="javascript:Didomi.preferences.show('vendors')"> ses partenaires</a>
virginradio.fr	3	policy link	policy link	div[class*="consent"] a	Cookie policy.	<a href="https://www.virginradio.fr/cookiepolicy/" target="_blank">Politique de cookies.</a>
virginradio.fr	4	opt-out option	opt-out option	div[class*="consent"] [role='button']	Continue without accepting →	<span class="didomi-continue-without-agreeing" tabindex="0" role="button">Continuer sans accepter →</span>
virginradio.fr	5	opt-in option	opt-in option	div[class*="consent"] [class*="button"]	Set cookiesAccept and close	<div id="buttons" class="multiple didomi-buttons didomi-popup-notice-buttons"><button id="didomi-notice-learn-more-button" class="didomi-components-button didomi-button didomi-learn-more-button didomi-button-standard standard-button" aria-label="Configurer vos consentements" style="color: rgb(68, 68, 68); background-color: rgb(238, 238, 238); border-radius: 0px; border-color: rgba(34, 34, 34, 0.2); border-width: 1px;"><span>Paramétrer les cookies</span></button><button id="didomi-notice-agree-button" class="didomi-components-button didomi-button didomi-dismiss-button didomi-components-button--color didomi-button-highlight highlight-button" aria-label="Accepter notre traitement des données et fermer" style="color: rgb(255, 255, 255); background-color: rgb(227, 29, 37); border-radius: 0px; border-color: rgba(227, 29, 37, 0.3); border-width: 1px;"><span>Accepter et fermer</span></button></div>
virginradio.fr	6	duplicate	duplicate	div[class*="consent"] [class*="button"]	Set cookies	<button id="didomi-notice-learn-more-button" class="didomi-components-button didomi-button didomi-learn-more-button didomi-button-standard standard-button" aria-label="Configurer vos consentements" style="color: rgb(68, 68, 68); background-color: rgb(238, 238, 238); border-radius: 0px; border-color: rgba(34, 34, 34, 0.2); border-width: 1px;"><span>Paramétrer les cookies</span></button>
virginradio.fr	7	duplicate	duplicate	div[class*="consent"] [class*="button"]	Accept and close	<button id="didomi-notice-agree-button" class="didomi-components-button didomi-button didomi-dismiss-button didomi-components-button--color didomi-button-highlight highlight-button" aria-label="Accepter notre traitement des données et fermer" style="color: rgb(255, 255, 255); background-color: rgb(227, 29, 37); border-radius: 0px; border-color: rgba(227, 29, 37, 0.3); border-width: 1px;"><span>Accepter et fermer</span></button>
tempstar.com	0	opt-in option	opt-in option	 a	AGREE AND PROCEED	<a class="call" tabindex="0">Agree and Proceed</a>
tempstar.com	1	opt-out option	opt-out option	 a	DECLINE ALL	<a class="required" tabindex="0">Decline All</a>
tempstar.com	2	more options	more options	 a	VIEW COOKIE SETTINGS »	<a class="shp" tabindex="0">View Cookie Settings »</a>
tempstar.com	3	policy link	policy link	 a	Privacy Policy	<a id="privacyPolicyAnchor" href="https://www.tempstar.com/en/us/legal/privacy-notice/" target="_blank">Privacy Policy</a>
tempstar.com	4	other	other	 [class*="button"]	AGREE AND PROCEEDDECLINE ALLVIEW COOKIE SETTINGS »	<div class="pdynamicbutton"><div aria-hidden="true" class="warningMessage warningMessageHttps" style="display: none;"></div><a class="call" tabindex="0">Agree and Proceed</a><a class="required" tabindex="0">Decline All</a><a class="shp" tabindex="0">View Cookie Settings »</a></div>
ray.io	0	policy link	policy link	#hs-eu-cookie-confirmation a	Privacy Policy	<a href="https://www.anyscale.com/privacy-policy?__hstc=152921254.1d20a3d559dfdef04103ec53e318c8ee.1644759001144.1644759001144.1644759001144.1&amp;__hssc=152921254.1.1644759001144&amp;__hsfp=3570997368" target="_blank">Privacy Policy</a>
ray.io	1	opt-in option	opt-in option	#hs-eu-cookie-confirmation a	Accept	<a href="javascript:void(0);" id="hs-eu-confirmation-button" role="button">    Accept  </a>
ray.io	2	duplicate	duplicate	#hs-eu-cookie-confirmation [role='button']	Accept	<a href="javascript:void(0);" id="hs-eu-confirmation-button" role="button">    Accept  </a>
fooddive.com	0	policy link	policy link	.cc-banner a	Learn more	<a aria-label="learn more about cookies" role="button" tabindex="0" class="cc-link" href="https://www.industrydive.com/cookie-policy/" rel="noopener noreferrer nofollow" target="_blank">Learn more</a>
fooddive.com	1	opt-in option	opt-in option	.cc-banner a	Accept	<a aria-label="dismiss cookie message" role="button" tabindex="0" class="cc-btn cc-dismiss" onclick="if (!window.__cfRLUnblockHandlers) return false; dismissCookieConsent()">Accept</a>
fooddive.com	2	duplicate	duplicate	.cc-banner [role='button']	Learn more	<a aria-label="learn more about cookies" role="button" tabindex="0" class="cc-link" href="https://www.industrydive.com/cookie-policy/" rel="noopener noreferrer nofollow" target="_blank">Learn more</a>
fooddive.com	3	duplicate	duplicate	.cc-banner [role='button']	Accept	<a aria-label="dismiss cookie message" role="button" tabindex="0" class="cc-btn cc-dismiss" onclick="if (!window.__cfRLUnblockHandlers) return false; dismissCookieConsent()">Accept</a>
chronometre-en-ligne.com	0	policy link	policy link	.cc-banner a	Learn more	<a aria-label="learn more about cookies" role="button" tabindex="0" class="cc-link" href="cookies.html" target="_blank">En savoir plus</a>
chronometre-en-ligne.com	1	opt-in option	opt-in option	.cc-banner a	Understood	<a aria-label="dismiss cookie message" role="button" tabindex="0" class="cc-btn cc-dismiss">J'ai compris</a>
chronometre-en-ligne.com	2	duplicate	duplicate	.cc-banner [role='button']	Learn more	<a aria-label="learn more about cookies" role="button" tabindex="0" class="cc-link" href="cookies.html" target="_blank">En savoir plus</a>
chronometre-en-ligne.com	3	duplicate	duplicate	.cc-banner [role='button']	Understood	<a aria-label="dismiss cookie message" role="button" tabindex="0" class="cc-btn cc-dismiss">J'ai compris</a>
hofstede-insights.com	0	more options	more options	#hs-eu-cookie-confirmation a	Settings	<a href="javascript:void(0);" id="hs-eu-cookie-settings-button" role="button">Settings</a>
hofstede-insights.com	1	opt-in option	opt-in option	#hs-eu-cookie-confirmation a	Accept	<a href="javascript:void(0);" id="hs-eu-confirmation-button" role="button">    Accept  </a>
hofstede-insights.com	2	opt-out option	opt-out option	#hs-eu-cookie-confirmation a	Decline	<a href="javascript:void(0);" id="hs-eu-decline-button" role="button">Decline</a>
hofstede-insights.com	3	duplicate	duplicate	#hs-eu-cookie-confirmation [role='button']	Settings	<a href="javascript:void(0);" id="hs-eu-cookie-settings-button" role="button">Settings</a>
hofstede-insights.com	4	duplicate	duplicate	#hs-eu-cookie-confirmation [role='button']	Accept	<a href="javascript:void(0);" id="hs-eu-confirmation-button" role="button">    Accept  </a>
hofstede-insights.com	5	duplicate	duplicate	#hs-eu-cookie-confirmation [role='button']	Decline	<a href="javascript:void(0);" id="hs-eu-decline-button" role="button">Decline</a>
bitcentral.com	0	policy link	policy link	#cookie-law-info-bar a	policy	<a href="https://bitcentral.com/privacy-policy/">policy</a>
bitcentral.com	1	policy link	policy link	#cookie-law-info-bar a	Privacy Policy	<a href="https://bitcentral.com/privacy-policy/">Privacy Policy</a>
bitcentral.com	2	more options	more options	#cookie-law-info-bar a	Cookie settings	<a role="button" tabindex="0" class="cli_settings_button" style="margin: 5px 20px; color: rgb(30, 115, 190);">Cookie settings</a>
bitcentral.com	3	opt-in option	opt-in option	#cookie-law-info-bar a	ACCEPT	<a role="button" tabindex="0" data-cli_action="accept" id="cookie_action_close_header" class="medium cli-plugin-button cli-plugin-main-button cookie_action_close_header cli_action_button" style="display: inline-block; margin: 5px; color: rgb(255, 255, 255); background-color: rgb(0, 0, 0);">ACCEPT</a>
bitcentral.com	4	duplicate	duplicate	#cookie-law-info-bar [role='button']	Cookie settings	<a role="button" tabindex="0" class="cli_settings_button" style="margin: 5px 20px; color: rgb(30, 115, 190);">Cookie settings</a>
bitcentral.com	5	duplicate	duplicate	#cookie-law-info-bar [role='button']	ACCEPT	<a role="button" tabindex="0" data-cli_action="accept" id="cookie_action_close_header" class="medium cli-plugin-button cli-plugin-main-button cookie_action_close_header cli_action_button" style="display: inline-block; margin: 5px; color: rgb(255, 255, 255); background-color: rgb(0, 0, 0);">ACCEPT</a>
bitcentral.com	6	duplicate	duplicate	#cookie-law-info-bar [class*="close"]	ACCEPT	<a role="button" tabindex="0" data-cli_action="accept" id="cookie_action_close_header" class="medium cli-plugin-button cli-plugin-main-button cookie_action_close_header cli_action_button" style="display: inline-block; margin: 5px; color: rgb(255, 255, 255); background-color: rgb(0, 0, 0);">ACCEPT</a>
bitcentral.com	7	duplicate	duplicate	#cookie-law-info-bar [class*="button"]	Cookie settings	<a role="button" tabindex="0" class="cli_settings_button" style="margin: 5px 20px; color: rgb(30, 115, 190);">Cookie settings</a>
bitcentral.com	8	duplicate	duplicate	#cookie-law-info-bar [class*="button"]	ACCEPT	<a role="button" tabindex="0" data-cli_action="accept" id="cookie_action_close_header" class="medium cli-plugin-button cli-plugin-main-button cookie_action_close_header cli_action_button" style="display: inline-block; margin: 5px; color: rgb(255, 255, 255); background-color: rgb(0, 0, 0);">ACCEPT</a>
bitcentral.com	9	duplicate	duplicate	#cookie-law-info-bar [class*="settings"]	Cookie settings	<a role="button" tabindex="0" class="cli_settings_button" style="margin: 5px 20px; color: rgb(30, 115, 190);">Cookie settings</a>
bitcentral.com	10	duplicate	duplicate	#cookie-law-info-bar [class*="settings"]	Cookie settings	<a role="button" tabindex="0" class="cli_settings_button" style="margin: 5px 20px; color: rgb(30, 115, 190);">Cookie settings</a>
theiphoneblog.com	0	policy link	policy link	div[class*="consent"] button 	partners	<button mode="link" class="qc-cmp2-link-inline css-pq0k6d" size="large">partners</button>
clikeo.fr	0	opt-out option	opt-out option	#CybotCookiebotDialog button 	Refuse	<button id="CybotCookiebotDialogBodyButtonDecline" class="CybotCookiebotDialogBodyButton" tabindex="0" lang="fr">Refuser</button>
clikeo.fr	1	other	other	#CybotCookiebotDialog button 	Personalize	<button id="CybotCookiebotDialogBodyLevelButtonCustomize" class="CybotCookiebotDialogBodyButton" tabindex="0" lang="fr">Personnaliser<div class="CybotCookiebotDialogArrow"></div></button>
clikeo.fr	2	opt-in option	opt-in option	#CybotCookiebotDialog button 	Allow everything	<button id="CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll" class="CybotCookiebotDialogBodyButton" tabindex="0" lang="fr">Tout autoriser</button>
